SongTitle,Style,Style2,Composer,Performer,URL,VideoURL,X,Y
A Cadena Perpetua,Bolero,n/a,José Torres,Benny Ornelas,http://frontera.library.ucla.edu/recordings/cadena-perpetua-0,https://www.youtube.com/embed/WLtJre38L1M,0,0
Castigame,Bolero,n/a,Manuel S. Acuña,Conjunto Bernal,http://frontera.library.ucla.edu/recordings/castigame-25,https://www.youtube.com/embed/DRAdEIuxDZE,60,-30
Olvidando,Bolero,n/a,Armando Almendarez,Conjunto San Antonio Alegre,http://frontera.library.ucla.edu/recordings/olvidando,https://www.youtube.com/embed/2DXKrW1-BmE,120,0
Negro Destino,Bolero,n/a,Eva Ybarra,Eva Ybarra Y Su Conjunto,http://frontera.library.ucla.edu/recordings/negro-destino-0,https://www.youtube.com/embed/G-jn8ywQFwM,0,60
El Lucero,Huapango,n/a,unkown,Narciso Martínez,http://frontera.library.ucla.edu/recordings/el-lucero-26,https://www.youtube.com/embed/2_46kAKGVoI,60,30
El Pávido Návido,Huapango,n/a,unkown,El Palomo Y El Gorrión,http://frontera.library.ucla.edu/recordings/el-p%C3%A1vido-n%C3%A1vido-9,https://www.youtube.com/embed/vlGulOkxfJk,120,60
El Pajaro Cu,Huapango,n/a,unkown,Esteban Jordan Y Su Conjunto,http://frontera.library.ucla.edu/recordings/el-pajaro-cu-3,https://www.youtube.com/embed/20lU-ES8-gc,0,120
El Zopilote Mojado,Pasodoble,n/a,unkown,"Santiago Jimenez, Jr.",http://frontera.library.ucla.edu/recordings/el-zopilote-mojado-8,https://www.youtube.com/embed/1yJq_t6ehP0,60,90
Amor De Torero,Pasodoble,n/a,unkown,Valerio Longoria Y Su Conjunto,http://frontera.library.ucla.edu/recordings/amor-de-torero-0,https://www.youtube.com/embed/7H-BvXLqyPc,120,120
Loma Blanca,Pasodoble,n/a,Ernesto Guerra,Conjunto Del Valle,http://frontera.library.ucla.edu/recordings/loma-blanca-0,https://www.youtube.com/embed/2D-flkZrKvc,0,180
El Aguacero,Polka,n/a,"Santiago Jiménez, Sr.","Santiago Jiménez, Sr.",http://frontera.library.ucla.edu/recordings/el-aguacero-24,https://www.youtube.com/embed/3VJ6LdF-dWU,60,150
La Barranca,Polka,n/a,unkown,Narciso Martínez,http://frontera.library.ucla.edu/recordings/la-barranca-2,https://www.youtube.com/embed/jzL3007Zwm0,120,180
Atotonilco,Polka,n/a,unkown,Tony de la Rosa Y Su Conjunto,http://frontera.library.ucla.edu/recordings/atotonilco-62,https://www.youtube.com/embed/C9DhNBCffOE,0,240
La Polka San Antonio,Polka,n/a,Jesse Guerrero,Los Rayos Del Alamo,http://frontera.library.ucla.edu/recordings/la-polka-san-antonio-0,https://www.youtube.com/embed/rNruTCdk9NU,60,210
El Circo,Polka,n/a,Tony De La Rosa,Tony De La Rosa,http://frontera.library.ucla.edu/recordings/el-circo-9,https://www.youtube.com/embed/EM2sMZUi0rg,120,240
Nuevo Laredo,Polka,n/a,Gilberto López,Los Pavos Reales,http://frontera.library.ucla.edu/recordings/nuevo-laredo-31,,0,300
Las Gaviotas,Ranchera,n/a,unkown,Manuel Guerrero Y Su Conjunto,http://frontera.library.ucla.edu/recordings/las-gaviotas-13,https://www.youtube.com/embed/PQnOze3Jl6M,60,270
Cada Vez Que Cae la Tarde,Ranchera,n/a,"Santiago Jimenez, Jr.","Santiago Jimenez, Jr.",http://frontera.library.ucla.edu/recordings/cada-vez-que-cae-la-tarde-11,,120,300
Marina,Ranchera,n/a,Manuel Guerrero,Manuel Guerrero,http://frontera.library.ucla.edu/recordings/marina-1,https://www.youtube.com/embed/VIbt659PLU0,0,360
Ay Te Dejo En San Antonio,Ranchera,n/a,"Santiago Jiménez, Sr.","Santiago Jimenez, Jr.",http://frontera.library.ucla.edu/recordings/ay-te-dejo-en-san-antonio-3,https://www.youtube.com/embed/XYouWkwozHE,60,330
Ojitos Verdes,Ranchera,n/a,Pepe Albarrán,José Merlin Trujillo,http://frontera.library.ucla.edu/recordings/ojitos-verdes-38,,120,360
A Medio Vuelo,Redova,n/a,Juan López,Juan López con Su Conjunto,http://frontera.library.ucla.edu/recordings/medio-vuelo,https://www.youtube.com/embed/PJmpBdUu6W4,0,420
El Botin Boleado,Redova,n/a,Narciso Martínez,Lalo García Y Su Conjunto,http://frontera.library.ucla.edu/recordings/el-botin-boleado,,60,390
Buscando La Salida,Redova,n/a,Juan Torres,Los Gavilanes,http://frontera.library.ucla.edu/recordings/buscando-la-salida-1,https://www.youtube.com/embed/QMZoTs8znYU,120,420
Los Siete Pasos,Schottische,n/a,unkown,Bruno Villarreal,http://frontera.library.ucla.edu/recordings/los-sietepasos-0,https://www.youtube.com/embed/Xr1YgJA9AVo,0,480
Granado,Schottische,n/a,unkown,Trio San Antonio,http://frontera.library.ucla.edu/recordings/granado-0,https://www.youtube.com/embed/MImzk1uYF-c,60,450
El Charro,Schottische,n/a,unkown,Jesús Casiano,http://frontera.library.ucla.edu/recordings/el-charro-11,https://www.youtube.com/embed/HSBRca55SrE,120,480
Carolina,Vals,n/a,"Santiago Jiménez, Sr.","Santiago Jiménez - accordion, Lorenzo Caballero - guitar, Ismael Gonzales - tolaloche (string bass)",http://frontera.library.ucla.edu/recordings/carolina-31,,0,540
Amor en La Playa,Vals,n/a,Pedro Ayala,Pedro Ayala y su Conjunto Del Rio,http://frontera.library.ucla.edu/recordings/amor-en-la-playa-13,https://www.youtube.com/embed/cVcKHKxFTbA,60,510
La Tuna,Vals,Ranchero,"Santiago Jiménez, Sr.","Santiago Jiménez, Sr.",http://frontera.library.ucla.edu/recordings/la-tuna-3,https://www.youtube.com/embed/Y6OPsHE3lWE,120,540
Odiame,Vals,Peruano,Rafael Otero,Conjunto Bernal,http://frontera.library.ucla.edu/recordings/odiame,https://www.youtube.com/embed/OJ4Xvmnsjqc,60,570